No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out,T_K,CO2_conversion,MeOH_selectivity,data_source
220,230.0,50,33.3702183333333,20.0,0,12.13,0.005,79.67,8.19,8.59401662472272,1.30259858174023,74.3101526175121,2.99067267471001,4.28265569806377,8.51990380325118,0.0,0.943654915439547,860.0,0.00635,0.031576,0.0,20.0,503.15,0.29150728567825895,0.8457824478531352,published Slotboom et al.
225,188.7306227,40,97.83,19.4,0,25.0,0.005,74.989999,1e-06,24.0189020146775,0.259411443646351,72.9894077920303,1.13725846098377,1.59501931598486,9.72677212503542e-07,0.0,0.973338678317887,775.66,0.003,0.28,92.62,21.8,461.8806227,0.03924391941289997,1.1591690921778204,published Slotboom et al.
148,220.0,30,65.77221235,20.0,0,22.21,0.005,66.56,11.22,20.7266052793598,0.756446113648332,63.6002049350794,1.35494366469375,2.10111165275356,11.4606883544652,96.81048862,0.973634420925805,860.0,0.00635,0.031576,0.0,20.0,493.15,0.06678949665196768,0.9134073661182942,published Slotboom et al.
189,220.0,50,167.130183,20.0,0,15.94,0.005,78.0,6.05,14.2310329107476,0.620257688080623,75.2436208191621,1.70688602705336,2.31676241317418,5.88144014178212,0.0,0.96711614721038,870.0,0.00635,0.031576,0.0,20.0,493.15,0.10721248991545788,0.9987822690020618,published Slotboom et al.
142,220.0,20,66.79446565,20.0,0,22.59,0.005,67.71,9.69,21.3750169467957,0.627356905215191,65.2979158671034,1.11990754724614,1.73703335449706,9.84276937914248,0.0,0.978107773942604,870.0,0.00635,0.031576,0.0,20.0,493.15,0.05378411036760955,0.9217474633021299,published Slotboom et al.
150,240.0,30,65.77221235,20.0,0,22.25,0.005,66.49,11.25,19.3581693911009,2.13803083059032,62.062956693393,1.36904449498248,3.49680342767672,11.5749951622567,96.06312629,0.973343884278582,860.0,0.00635,0.031576,0.0,20.0,513.15,0.12996991500670108,0.47341794182878033,published Slotboom et al.
233,219.4956623,30,97.82,16.8,0,25.0,0.005,74.989999,1e-06,21.9722369061231,1.76547235626278,70.4057534509282,2.02255947071361,3.83397687453773,9.4143462713314e-07,0.0,0.963284900138758,775.66,0.003,0.28,88.71,16.96,492.64566229999997,0.12111052375507597,0.6680045327204989,published Slotboom et al.
204,250.0,50,99.9686094333333,20.0,0,16.0,0.005,78.24,5.75,11.8495691927748,2.11989334345961,71.8516979193863,3.01703284771075,5.12631626276065,6.03549043390783,0.0,0.943128120545098,860.0,0.00635,0.031576,0.0,20.0,523.15,0.25940192545157503,0.7269204060596804,published Slotboom et al.
195,220.0,50,166.952726833333,20.0,0,12.1,0.005,79.71,8.18,10.4163639417353,0.554835927655778,77.1359630693991,1.52596271644345,2.07047893923892,8.29639540552752,0.0,0.970426233364241,860.0,0.00635,0.031576,0.0,20.0,493.15,0.1391434758896446,0.9063495100100425,published Slotboom et al.
175,250.0,50,100.079323116667,20.0,0,23.35,0.005,68.0,8.64,19.2705805853719,2.71263733872242,61.06193951904,2.56257759435967,5.26470731513755,9.12755764736849,0.0,0.951224385814477,810.0,0.00635,0.031576,0.0,20.0,523.15,0.17470746957722064,0.6281721328213284,published Slotboom et al.
234,219.8184886,50,97.28,16.91,0,25.0,0.005,74.989999,1e-06,21.4753280208881,1.7538109408535,68.7812981010306,3.06468679089815,4.92487522622524,9.20104370627722e-07,0.0,0.95924651166758,775.66,0.003,0.28,85.86,18.94,492.9684886,0.14098687916447603,0.8694956038633554,published Slotboom et al.
188,260.0,50,166.257536766667,20.0,0,23.3,0.005,68.06,8.63,19.1228178910894,3.06661514635935,61.5638769228049,2.09566490694419,5.15186173586708,8.99916339693505,0.0,0.959769609253606,860.0,0.00635,0.031576,0.0,20.0,533.15,0.17927820209916737,0.5016934508250911,published Slotboom et al.
222,250.0,50,33.3702183333333,20.0,0,12.02,0.005,79.78,8.19,7.71513348786564,1.55346328240992,73.2020664618253,3.65601113324628,5.1987307681886,8.67459486646428,0.0,0.931940969875043,860.0,0.00635,0.031576,0.0,20.0,523.15,0.35814197272332443,0.8492739839762474,published Slotboom et al.
