No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out
118,250,60,240,20,1,0.005,16.42,67.78,15.79,0.0225,15.01,66.61,1.97,0.02,16.3675,18.357,0.960034317580611,1097.22222222222,0,0,0,20
119,260,60,240,20,1,0.005,16.42,67.78,15.79,0.0465,14.31,65.97,2.99,0.02,16.6635,18.531,0.941826700520432,1097.22222222222,0,0,0,20
120,230,30,238,20,1,0.005,11.34,72.91,15.74,0.003999996000004,11.0699889300111,72.5499274500726,0.3999996000004,9.99999000001e-05,15.975984024016,11.051,0.992909623387967,1097.22222222222,0,0,0,20
121,240,30,238,20,1,0.005,11.34,72.91,15.74,0.0084999915000085,10.8599891400109,72.4499275500724,0.63999936000064,9.99999000001e-05,16.041483958516,11.094,0.987695334960326,1097.22222222222,0,0,0,20
122,250,30,238,20,1,0.005,11.34,72.91,15.74,0.0177999822000178,10.5499894500105,72.3899276100724,0.98999901000099,9.99999000001e-05,16.0521839478161,11.974,0.980163419743255,1097.22222222222,0,0,0,20
123,260,30,238,20,1,0.005,11.34,72.91,15.74,0.0385,10.19,72.14,1.41,0.02,16.2015,12.008,0.971801415586538,1097.22222222222,0,0,0,20
124,230,40,238,20,1,0.005,11.34,72.91,15.74,0.0037999962000038,10.979989020011,72.5499274500725,0.51999948000052,9.99999000001e-05,15.9461840538159,11.003,0.990614155145811,1097.22222222222,0,0,0,20
125,240,40,238,20,1,0.005,11.34,72.91,15.74,0.0084999915000085,10.7299892700107,72.4299275700724,0.85999914000086,9.99999000001e-05,15.971484028516,11.128,0.984424945557353,1097.22222222222,0,0,0,20
126,250,40,238,20,1,0.005,11.34,72.91,15.74,0.0170999829000171,10.3299896700103,72.2499277500722,1.2999987000013,9.99999000001e-05,16.1028838971161,11.922,0.974708028920962,1097.22222222222,0,0,0,20
127,260,40,238,20,1,0.005,11.34,72.91,15.74,0.0369,9.82,71.9,1.93,0.01,16.3031,12.09,0.962805563098017,1097.22222222222,0,0,0,20
128,230,50,238,20,1,0.005,11.34,72.91,15.74,0.0037999962000038,10.8799891200109,72.5999274000726,0.64999935000065,9.99999000001e-05,15.8661841338159,10.963,0.988081664374351,1097.22222222222,0,0,0,20
129,240,50,238,20,1,0.005,11.34,72.91,15.74,0.0081999918000082,10.6099893900106,72.2899277100723,1.04999895000105,9.99999000001e-05,16.041783958216,11.16,0.981417812288925,1097.22222222222,0,0,0,20
130,250,50,238,20,1,0.005,11.34,72.91,15.74,0.0176,9.99,72.25,1.69,0.01,16.0424,10.331,0.966433622388254,1097.22222222222,0,0,0,20
131,250,50,238,20,1,0.005,11.34,72.91,15.74,0.0167999832000168,10.0999899000101,72.0899279100721,1.57999842000158,9.99999000001e-05,16.2131837868162,11.641,0.969079712761263,1097.22222222222,0,0,0,20
132,260,50,238,20,1,0.005,11.34,72.91,15.74,0.0353,9.5,71.47,2.41,0.05,16.5347,11.374,0.955153504165359,1097.22222222222,0,0,0,20
133,230,60,238,20,1,0.005,11.34,72.91,15.74,0.0042,10.79,72.49,0.79,0.01,15.9158,10.919,0.985823526110932,1097.22222222222,0,0,0,20
134,240,60,238,20,1,0.005,11.34,72.91,15.74,0.0080999919000081,10.3999896000104,72.3899276100724,1.1999988000012,9.99999000001e-05,16.001883998116,10.496,0.976209780283341,1097.22222222222,0,0,0,20
135,250,60,238,20,1,0.005,11.34,72.91,15.74,0.0170999829000171,9.7999902000098,72.039927960072,1.97999802000198,9.99999000001e-05,16.1628838371162,10.393,0.961851932040744,1097.22222222222,0,0,0,20
136,260,60,238,20,1,0.005,11.34,72.91,15.74,0.0362,9.04,71.37,2.94,0.04,16.5738,10.428,0.944438199776169,1097.22222222222,0,0,0,20
137,230,70,238,20,1,0.005,11.34,72.91,15.74,0.0040999959000041,10.7599892400108,72.4999275000725,0.90999909000091,9.99999000001e-05,15.8258841741158,11.201,0.985067247087489,1097.22222222222,0,0,0,20
138,240,70,238,20,1,0.005,11.34,72.91,15.74,0.0071999928000072,10.3899896100104,72.2299277700722,1.34999865000135,9.99999000001e-05,16.022783977216,11.245,0.975941095074086,1097.22222222222,0,0,0,20
139,250,70,238,20,1,0.005,11.34,72.91,15.74,0.0166,9.72,71.68,2.22,0.03,16.3334,11.296,0.959928868401576,1097.22222222222,0,0,0,20
140,260,70,238,20,1,0.005,11.34,72.91,15.74,0.0337,8.9,71.1,3.29,0.04,16.6363,11.339,0.941161000625817,1097.22222222222,0,0,0,20
141,210,20,66.79446565,20,0,22.58,0.005,67.72,9.69,21.7024338817082,0.375655737252019,65.8178230813322,0.958084508943655,1.32354273662157,9.82246005414234,0,0.981209441344845,870,0.00635,0.031576,0,20
