z_m,CO2,H2,CO,MeOH,H2O,N2,temperature_k,pressure_bar
0.11239634944287669,0.004258557048181047,0.014734747346396999,0.0005033476248743549,8.894129247129476e-11,0.0005033477137237152,0.0,486.74665911519844,29.998477760979753
0.11954740574023143,0.004247677312564189,0.014723867610571987,0.0005142273603871369,8.90453697514309e-11,0.0005142274493405744,0.0,487.1296511945811,29.9983802795391
0.12669846203758617,0.004237573723243619,0.014713764021039612,0.0005243309496018038,8.915127161856694e-11,0.0005243310386611432,0.0,487.49703917053495,29.998282722680337
0.1338495183349409,0.004228206945184795,0.014704397242764802,0.0005336977275526336,8.925926564526512e-11,0.000533697816719967,0.0,487.84900552898995,29.998185093505402
0.14603211261084262,0.004213837034154939,0.01469002733135611,0.0005480676383930712,8.944868405856815e-11,0.0005480677277498229,0.0,488.4136463800602,29.998018613824403
0.15821470688674433,0.004201305556203137,0.014677495853010121,0.000560599116147781,8.964577661600877e-11,0.0005605992057016252,0.0,488.93503184413186,29.997851948041358
0.17039730116264604,0.0041904293720770106,0.01466661966847302,0.0005714753000684202,8.985126446356982e-11,0.0005714753898277524,0.0,489.41414996465534,29.99768511075163
0.18257989543854775,0.0041810319281458865,0.014657222224113153,0.0005808727437851709,9.006563668526478e-11,0.0005808728337588752,0.0,489.85209218087124,29.997518116184562
0.1978778538147108,0.004171068027801402,0.014647258323204276,0.0005908366438474591,9.03478327762989e-11,0.0005908367341033596,0.0,490.34569587030256,29.99730821580966
0.21317581219087384,0.004162861796357944,0.014639052091167297,0.0005990428749941564,9.064459239501795e-11,0.0005990429655468166,0.0,490.77948461207126,29.99709811550709
